,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
22,22,2020,SE,FT,Data Engineer,40740.0,USD,47899,Greece,50,Greece,L
23,23,2020,MI,FT,BI Data Analyst,98000.0,USD,98000,United States of America,0,United States of America,M
24,24,2020,MI,FT,Lead Data Scientist,115000.0,USD,115000,United Arab Emirates,0,United Arab Emirates,L
25,25,2020,EX,FT,Director of Data Science,325000.0,USD,325000,United States of America,100,United States of America,L
26,26,2020,EN,FT,Research Scientist,42000.0,USD,42000,Netherlands,50,Netherlands,L
27,27,2020,SE,FT,Data Engineer,36000.0,USD,33511,Mexico,0,Mexico,S
28,28,2020,EN,CT,Business Data Analyst,100000.0,USD,100000,United States of America,100,United States of America,L
29,29,2020,SE,FT,Machine Learning Manager,114610.0,USD,117104,Canada,50,Canada,L
30,30,2020,MI,FT,Data Engineering Manager,50439.03,USD,59303,Germany,100,Germany,S
31,31,2020,EN,FT,Big Data Engineer,70000.0,USD,70000,United States of America,100,United States of America,L
32,32,2020,SE,FT,Data Scientist,58200.0,USD,68428,Greece,100,United States of America,L
33,33,2020,MI,FT,Research Scientist,450000.0,USD,450000,United States of America,0,United States of America,M
34,34,2020,MI,FT,Data Analyst,39770.0,USD,46759,France,50,France,L
35,35,2020,MI,FT,Data Engineer,63050.0,USD,74130,Austria,50,Austria,L
36,36,2020,MI,FT,Data Science Consultant,103000.0,USD,103000,United States of America,100,United States of America,L
37,37,2020,EN,FT,Machine Learning Engineer,250000.0,USD,250000,United States of America,50,United States of America,L
38,38,2020,EN,FT,Data Analyst,10000.0,USD,10000,Nigeria,100,Nigeria,S
39,39,2020,EN,FT,Machine Learning Engineer,138000.0,USD,138000,United States of America,100,United States of America,S
40,40,2020,MI,FT,Data Scientist,45760.0,USD,45760,Philippines,100,United States of America,S
41,41,2020,EX,FT,Data Engineering Manager,67900.0,USD,79833,Spain,50,Spain,L
42,42,2020,MI,FT,Machine Learning Infrastructure Engineer,42680.0,USD,50180,Portugal,0,Portugal,M
43,43,2020,MI,FT,Data Engineer,106000.0,USD,106000,United States of America,100,United States of America,L
44,44,2020,MI,FT,Data Engineer,97680.00000000001,USD,112872,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
45,45,2020,EN,PT,ML Engineer,13580.0,USD,15966,Germany,100,Germany,S
46,46,2020,MI,FT,Data Scientist,66600.0,USD,76958,United Kingdom of Great Britain and Northern Ireland,100,United Kingdom of Great Britain and Northern Ireland,S
47,47,2020,SE,FT,Data Engineer,188000.0,USD,188000,United States of America,100,United States of America,L
48,48,2020,MI,FT,Data Scientist,105000.0,USD,105000,United States of America,100,United States of America,L
49,49,2020,MI,FT,Data Engineer,59655.0,USD,70139,France,50,France,L
50,50,2020,EN,FT,Data Analyst,5400.0,USD,6072,India,0,India,S
51,51,2020,EN,FT,Data Analyst,91000.0,USD,91000,United States of America,100,United States of America,L
52,52,2020,EN,FT,AI Scientist,39000.0,USD,45896,Denmark,50,Denmark,S
53,53,2020,EN,FT,Data Engineer,46560.0,USD,54742,Pakistan,100,Germany,L
54,54,2020,SE,FL,Computer Vision Engineer,60000.0,USD,60000,Russian Federation,100,United States of America,S
55,55,2020,SE,FT,Principal Data Scientist,126100.0,USD,148261,Germany,100,Germany,M
56,56,2020,MI,FT,Data Scientist,32980.0,USD,38776,Spain,100,Spain,M
57,57,2020,MI,FT,Data Scientist,118000.0,USD,118000,United States of America,100,United States of America,M
58,58,2020,SE,FT,Data Scientist,120000.0,USD,120000,United States of America,50,United States of America,L
59,59,2020,MI,FT,Data Scientist,138350.0,USD,138350,United States of America,100,United States of America,M
60,60,2020,MI,FT,Data Engineer,110000.0,USD,110000,United States of America,100,United States of America,L
61,61,2020,MI,FT,Data Engineer,130800.0,USD,130800,Spain,100,United States of America,M
62,62,2020,EN,PT,Data Scientist,18430.0,USD,21669,Italy,50,Italy,S
63,63,2020,SE,FT,Data Scientist,412000.0,USD,412000,United States of America,100,United States of America,L
64,64,2020,SE,FT,Machine Learning Engineer,38800.0,USD,45618,Croatia,100,Croatia,S
65,65,2020,EN,FT,Data Scientist,53350.0,USD,62726,Germany,50,Germany,S
66,66,2020,EN,FT,Data Scientist,41904.0,USD,49268,Germany,0,Germany,S
67,67,2020,SE,FT,Data Science Manager,190200.0,USD,190200,United States of America,100,United States of America,M
68,68,2020,EN,FT,Data Scientist,105000.0,USD,105000,United States of America,100,United States of America,S
69,69,2020,SE,FT,Data Scientist,77600.0,USD,91237,Austria,0,Austria,S
70,70,2020,MI,FT,Data Scientist,53350.0,USD,62726,France,50,Luxembourg,S
71,71,2020,MI,FT,Data Scientist,35890.0,USD,42197,France,50,France,S
72,72,2021,EN,FT,Research Scientist,66600.0,USD,82528,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
73,73,2021,EX,FT,BI Data Analyst,150000.0,USD,150000,India,100,United States of America,L
74,74,2021,EX,FT,Head of Data,235000.0,USD,235000,United States of America,100,United States of America,L
75,75,2021,SE,FT,Data Scientist,43650.0,USD,53192,France,50,France,L
76,76,2021,MI,FT,BI Data Analyst,100000.0,USD,100000,United States of America,100,United States of America,M
77,77,2021,MI,PT,3D Computer Vision Researcher,4800.0,USD,5409,India,50,India,M
78,78,2021,MI,CT,ML Engineer,270000.0,USD,270000,United States of America,100,United States of America,L
79,79,2021,EN,FT,Data Analyst,80000.0,USD,80000,United States of America,100,United States of America,M
80,80,2021,SE,FT,Data Analytics Engineer,64990.0,USD,79197,Germany,100,Germany,L
81,81,2021,MI,FT,Data Engineer,140000.0,USD,140000,United States of America,100,United States of America,L
82,82,2021,MI,FT,Applied Data Scientist,49640.0,USD,54238,United Kingdom of Great Britain and Northern Ireland,50,Canada,L
83,83,2021,MI,FT,Machine Learning Engineer,38800.0,USD,47282,Spain,100,Spain,S
84,84,2021,EX,FT,Director of Data Science,126100.0,USD,153667,Italy,100,Poland,L
85,85,2021,MI,FT,Data Engineer,22000.0,USD,28476,Poland,100,Poland,L
86,86,2021,EN,FT,Data Analyst,48500.0,USD,59102,France,50,France,M
87,87,2021,MI,FT,Data Analytics Engineer,110000.0,USD,110000,United States of America,100,United States of America,L
88,88,2021,SE,FT,Lead Data Analyst,170000.0,USD,170000,United States of America,100,United States of America,L
89,89,2021,SE,FT,Data Analyst,80000.0,USD,80000,Bulgaria,100,United States of America,S
90,90,2021,SE,FT,Marketing Data Analyst,72750.0,USD,88654,Greece,100,Denmark,L
91,91,2021,EN,FT,Data Science Consultant,63050.0,USD,76833,Germany,100,Germany,S
92,92,2021,MI,FT,Lead Data Analyst,17400.0,USD,19609,India,100,India,L
93,93,2021,SE,FT,Lead Data Engineer,276000.0,USD,276000,United States of America,0,United States of America,L
94,94,2021,EN,FT,Data Scientist,26400.0,USD,29751,India,50,India,L
95,95,2021,MI,FT,Cloud Data Engineer,84000.0,USD,89294,Singapore,50,Singapore,L
96,96,2021,EN,PT,AI Scientist,12000.0,USD,12000,Brazil,100,United States of America,S
97,97,2021,MI,FT,Financial Data Analyst,450000.0,USD,450000,United States of America,100,United States of America,L
98,98,2021,EN,FT,Computer Vision Software Engineer,70000.0,USD,70000,United States of America,100,United States of America,M
99,99,2021,MI,FT,Computer Vision Software Engineer,78570.0,USD,95746,Germany,100,United States of America,S
100,100,2021,MI,FT,Data Analyst,75000.0,USD,75000,United States of America,0,United States of America,L
101,101,2021,SE,FT,Data Engineer,150000.0,USD,150000,United States of America,100,United States of America,L
102,102,2021,MI,FT,BI Data Analyst,25300.0,USD,36259,Hungary,50,United States of America,L
103,103,2021,MI,FT,Data Analyst,62000.0,USD,62000,United States of America,0,United States of America,L
104,104,2021,MI,FT,Data Scientist,73000.0,USD,73000,United States of America,0,United States of America,L
105,105,2021,MI,FT,Data Analyst,41576.16,USD,51519,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
106,106,2021,MI,FT,Research Scientist,171550.0,USD,187442,Canada,100,Canada,L
107,107,2021,SE,FT,Data Engineer,115000.0,USD,115000,United States of America,100,United States of America,S
108,108,2021,SE,FT,Data Engineer,150000.0,USD,150000,United States of America,100,United States of America,M
109,109,2021,EN,FT,Data Engineer,27000.0,USD,30428,India,100,India,L
110,110,2021,SE,FT,Machine Learning Engineer,77600.0,USD,94564,Germany,50,Germany,L
111,111,2021,SE,FT,Director of Data Engineering,91575.00000000001,USD,113476,United Kingdom of Great Britain and Northern Ireland,100,United Kingdom of Great Britain and Northern Ireland,M
112,112,2021,SE,FT,Lead Data Engineer,83250.00000000001,USD,103160,United Kingdom of Great Britain and Northern Ireland,100,United Kingdom of Great Britain and Northern Ireland,S
113,113,2021,EN,PT,AI Scientist,12000.0,USD,12000,Pakistan,100,United States of America,M
114,114,2021,MI,FT,Data Engineer,37248.0,USD,45391,Netherlands,100,Netherlands,L
115,115,2021,EN,FT,Machine Learning Scientist,225000.0,USD,225000,United States of America,100,United States of America,L
116,116,2021,MI,FT,Data Scientist,50000.0,USD,50000,Nigeria,100,Nigeria,L
117,117,2021,MI,FT,Data Science Engineer,32980.0,USD,40189,Greece,100,Greece,M
118,118,2021,EN,FT,Data Analyst,90000.0,USD,90000,United States of America,100,United States of America,S
119,119,2021,MI,FT,Data Engineer,200000.0,USD,200000,United States of America,100,United States of America,L
120,120,2021,MI,FT,Big Data Engineer,60000.0,USD,60000,Spain,50,Romania,M
121,121,2021,SE,FT,Principal Data Engineer,200000.0,USD,200000,United States of America,100,United States of America,M
122,122,2021,EN,FT,Data Analyst,50000.0,USD,50000,United States of America,100,United States of America,M
123,123,2021,EN,FT,Applied Data Scientist,88800.00000000001,USD,110037,United Kingdom of Great Britain and Northern Ireland,0,United Kingdom of Great Britain and Northern Ireland,L
124,124,2021,EN,PT,Data Analyst,8497.199999999999,USD,10354,Spain,50,Spain,M
125,125,2021,MI,FT,Principal Data Scientist,151000.0,USD,151000,United States of America,100,United States of America,L
126,126,2021,SE,FT,Machine Learning Scientist,120000.0,USD,120000,United States of America,50,United States of America,S
127,127,2021,MI,FT,Data Scientist,8400.0,USD,9466,India,0,India,S
128,128,2021,EN,FT,Machine Learning Engineer,20000.0,USD,20000,India,100,India,S
129,129,2021,SE,FT,Lead Data Scientist,36000.0,USD,40570,India,50,India,L
130,130,2021,EN,FT,Machine Learning Developer,100000.0,USD,100000,Iraq,50,Iraq,S
131,131,2021,EN,FT,Data Scientist,40740.0,USD,49646,France,50,France,M
132,132,2021,MI,FT,Applied Machine Learning Scientist,38400.0,USD,38400,Viet Nam,100,United States of America,M
133,133,2021,SE,FT,Computer Vision Engineer,24000.0,USD,24000,Brazil,100,Brazil,M
134,134,2021,EN,FT,Data Scientist,100000.0,USD,100000,United States of America,0,United States of America,S
135,135,2021,MI,FT,Data Analyst,90000.0,USD,90000,United States of America,100,United States of America,M
136,136,2021,MI,FT,ML Engineer,47600.0,USD,63711,Japan,50,Japan,S
137,137,2021,MI,FT,ML Engineer,57800.0,USD,77364,Japan,50,Japan,S
138,138,2021,SE,FT,Principal Data Scientist,220000.0,USD,220000,United States of America,0,United States of America,L
139,139,2021,EN,FT,Data Scientist,80000.0,USD,80000,United States of America,100,United States of America,M
140,140,2021,MI,FT,Data Analyst,135000.0,USD,135000,United States of America,100,United States of America,L
141,141,2021,SE,FT,Data Science Manager,240000.0,USD,240000,United States of America,0,United States of America,L
142,142,2021,SE,FT,Data Engineering Manager,150000.0,USD,150000,United States of America,0,United States of America,L
143,143,2021,MI,FT,Data Scientist,82500.0,USD,82500,United States of America,100,United States of America,S
144,144,2021,MI,FT,Data Engineer,100000.0,USD,100000,United States of America,100,United States of America,L
145,145,2021,SE,FT,Machine Learning Engineer,67900.0,USD,82744,Belgium,50,Belgium,M
146,146,2021,MI,FT,Research Scientist,51410.0,USD,62649,France,50,France,M
147,147,2021,MI,FT,Data Engineer,90000.0,USD,90000,United States of America,100,United States of America,L
148,148,2021,SE,FT,Data Engineering Manager,153000.0,USD,153000,United States of America,100,United States of America,L
149,149,2021,SE,FT,Cloud Data Engineer,160000.0,USD,160000,Brazil,100,United States of America,S
150,150,2021,SE,FT,Director of Data Science,168000.0,USD,168000,Japan,0,Japan,S
151,151,2021,MI,FT,Data Scientist,150000.0,USD,150000,United States of America,100,United States of America,M
152,152,2021,MI,FT,Data Scientist,69350.0,USD,75774,Canada,100,Canada,L
153,153,2021,EN,FT,Data Scientist,13400.0,USD,13400,Ukraine,100,Ukraine,L
154,154,2021,SE,FT,Data Science Manager,144000.0,USD,144000,United States of America,100,United States of America,L
155,155,2021,SE,FT,Data Science Engineer,116435.0,USD,127221,Canada,50,Canada,L
156,156,2021,MI,FT,Data Scientist,112000.0,USD,119059,Singapore,100,Israel,M
157,157,2021,MI,FT,Applied Machine Learning Scientist,423000.0,USD,423000,United States of America,50,United States of America,L
158,158,2021,SE,FT,Data Analytics Manager,120000.0,USD,120000,United States of America,100,United States of America,M
159,159,2021,EN,FT,Machine Learning Engineer,125000.0,USD,125000,United States of America,100,United States of America,S
160,160,2021,EX,FT,Head of Data,230000.0,USD,230000,Russian Federation,50,Russian Federation,L
161,161,2021,EX,FT,Head of Data Science,85000.0,USD,85000,Russian Federation,0,Russian Federation,M
162,162,2021,MI,FT,Data Engineer,23280.0,USD,28369,Malta,50,Malta,L
163,163,2021,EN,FT,Data Science Consultant,52380.0,USD,63831,Germany,50,Germany,L
164,164,2021,EX,FT,Director of Data Science,106700.0,USD,130026,Germany,50,Germany,M
165,165,2021,SE,FT,Data Specialist,165000.0,USD,165000,United States of America,100,United States of America,L
166,166,2021,EN,FT,Data Engineer,80000.0,USD,80000,United States of America,100,United States of America,L
167,167,2021,EX,FT,Director of Data Science,250000.0,USD,250000,United States of America,0,United States of America,L
168,168,2021,EN,FT,BI Data Analyst,55000.0,USD,55000,United States of America,50,United States of America,S
169,169,2021,MI,FT,Data Architect,150000.0,USD,150000,United States of America,100,United States of America,L
170,170,2021,MI,FT,Data Architect,170000.0,USD,170000,United States of America,100,United States of America,L
171,171,2021,MI,FT,Data Engineer,66600.0,USD,82528,United Kingdom of Great Britain and Northern Ireland,100,United Kingdom of Great Britain and Northern Ireland,L
172,172,2021,EN,FT,Data Analyst,60000.0,USD,60000,United States of America,100,United States of America,S
173,173,2021,SE,FT,Principal Data Scientist,235000.0,USD,235000,United States of America,100,United States of America,L
174,174,2021,SE,FT,Research Scientist,49858.0,USD,60757,Portugal,50,Portugal,L
175,175,2021,SE,FT,Data Engineering Manager,174000.0,USD,174000,United States of America,100,United States of America,L
176,176,2021,MI,FT,Data Scientist,2900.0,USD,2859,Mexico,0,Mexico,S
177,177,2021,MI,FT,Data Scientist,33440.0,USD,40038,Chile,100,Chile,L
178,178,2021,EN,FT,Machine Learning Engineer,81000.0,USD,81000,United States of America,50,United States of America,S
179,179,2021,MI,FT,Data Scientist,5040.0,USD,5679,India,100,United States of America,S
180,180,2021,MI,FT,Big Data Engineer,20064.0,USD,22611,India,0,India,L
181,181,2021,MI,FT,Data Scientist,74457.2,USD,90734,Germany,50,Germany,L
182,182,2021,MI,FT,Data Engineer,21340.0,USD,26005,Romania,0,United States of America,L
183,183,2021,SE,FT,Finance Data Analyst,49950.00000000001,USD,61896,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
184,184,2021,MI,FL,Machine Learning Scientist,12000.0,USD,12000,Pakistan,50,Pakistan,M
185,185,2021,MI,FT,Data Engineer,4000.0,USD,4000,Iran (Islamic Republic of),100,Iran (Islamic Republic of),M
186,186,2021,SE,FT,Data Analytics Engineer,50000.0,USD,50000,Viet Nam,100,United Kingdom of Great Britain and Northern Ireland,M
187,187,2021,EX,FT,Data Science Consultant,57230.0,USD,69741,France,100,Spain,S
188,188,2021,SE,FT,Data Engineer,63050.0,USD,76833,Romania,50,United Kingdom of Great Britain and Northern Ireland,S
189,189,2021,MI,FT,Machine Learning Engineer,74000.0,USD,74000,Japan,50,Japan,S
190,190,2021,SE,FT,Data Science Manager,152000.0,USD,152000,United States of America,100,France,L
191,191,2021,EN,FT,Machine Learning Engineer,21844.0,USD,21844,Colombia,50,Colombia,M
192,192,2021,MI,FT,Big Data Engineer,18000.0,USD,18000,"Moldova, Republic of",0,"Moldova, Republic of",S
193,193,2021,SE,FT,Data Science Manager,174000.0,USD,174000,United States of America,100,United States of America,L
194,194,2021,SE,FT,Research Scientist,87965.0,USD,96113,Canada,50,Canada,L
195,195,2021,MI,FT,Data Scientist,147000.0,USD,147000,United States of America,50,United States of America,L
196,196,2021,EN,FT,BI Data Analyst,9272.0,USD,9272,Kenya,100,Kenya,S
197,197,2021,SE,FT,Machine Learning Engineer,21599.964,USD,24342,India,100,India,L
198,198,2021,SE,FT,Data Science Manager,48000.0,USD,54094,India,50,United States of America,L
199,199,2021,EN,FT,Data Science Consultant,90000.0,USD,90000,United States of America,100,United States of America,S
200,200,2021,MI,FT,Data Scientist,50440.0,USD,61467,Germany,50,Austria,M
201,201,2021,SE,FT,Machine Learning Infrastructure Engineer,195000.0,USD,195000,United States of America,100,United States of America,M
202,202,2021,MI,FT,Data Scientist,31040.0,USD,37825,Spain,100,Spain,L
203,203,2021,SE,FT,Research Scientist,50000.0,USD,50000,France,100,United States of America,S
204,204,2021,MI,FT,Data Scientist,160000.0,USD,160000,United States of America,100,United States of America,L
205,205,2021,MI,FT,Data Scientist,13224.0,USD,12901,Brazil,0,Brazil,S
206,206,2021,SE,FT,Machine Learning Engineer,200000.0,USD,200000,United States of America,100,United States of America,L
207,207,2021,SE,FT,Data Engineer,165000.0,USD,165000,United States of America,0,United States of America,M
208,208,2021,MI,FL,Data Engineer,20000.0,USD,20000,Italy,0,United States of America,L
209,209,2021,SE,FT,Data Analytics Manager,120000.0,USD,120000,United States of America,0,United States of America,L
210,210,2021,MI,FT,Machine Learning Engineer,20370.0,USD,24823,Slovenia,50,Slovenia,L
211,211,2021,MI,FT,Research Scientist,46560.0,USD,56738,France,50,France,S
212,212,2021,MI,FT,Data Engineer,53280.00000000001,USD,66022,Hong Kong,50,United Kingdom of Great Britain and Northern Ireland,S
213,213,2021,EN,FT,Big Data Engineer,5220.0,USD,5882,India,0,Switzerland,L
214,214,2021,EN,FT,Machine Learning Engineer,20370.0,USD,24823,Germany,50,Germany,M
215,215,2021,SE,FT,Principal Data Engineer,185000.0,USD,185000,United States of America,100,United States of America,L
216,216,2021,EN,PT,Computer Vision Engineer,23400.0,USD,28609,Denmark,50,Denmark,S
217,217,2021,MI,FT,Data Scientist,74457.2,USD,90734,Germany,50,Germany,L
218,218,2021,MI,FT,Machine Learning Engineer,72750.0,USD,88654,Belgium,100,Belgium,M
219,219,2021,SE,FT,Data Analytics Manager,140000.0,USD,140000,United States of America,100,United States of America,L
220,220,2021,MI,FT,Machine Learning Engineer,36000.0,USD,46597,Poland,100,Poland,L
221,221,2021,MI,FT,Data Scientist,94350.00000000001,USD,116914,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
222,222,2021,MI,FT,Data Scientist,30000.0,USD,33808,India,0,India,M
223,223,2021,MI,FT,Data Scientist,45399.00000000001,USD,56256,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
224,224,2021,SE,FT,Machine Learning Scientist,225000.0,USD,225000,United States of America,100,Canada,L
225,225,2021,EX,CT,Principal Data Scientist,416000.0,USD,416000,United States of America,100,United States of America,S
226,226,2021,SE,FT,Data Scientist,80300.0,USD,87738,Canada,100,Canada,S
227,227,2021,MI,FT,Data Scientist,72750.0,USD,88654,Germany,50,Germany,L
228,228,2021,SE,FT,Data Scientist,135000.0,USD,135000,United States of America,0,United States of America,L
229,229,2021,SE,FT,Data Analyst,65700.0,USD,71786,Canada,100,Canada,M
230,230,2021,EN,FT,Big Data Engineer,14400.0,USD,16228,India,100,India,L
231,231,2021,SE,FT,ML Engineer,256000.0,USD,256000,United States of America,100,United States of America,S
232,232,2021,SE,FT,Director of Data Engineering,200000.0,USD,200000,United States of America,100,United States of America,L
233,233,2021,SE,FT,Data Analyst,200000.0,USD,200000,United States of America,100,United States of America,L
234,234,2021,MI,FT,Data Architect,180000.0,USD,180000,United States of America,100,United States of America,L
235,235,2021,MI,FT,Head of Data Science,110000.0,USD,110000,United States of America,0,United States of America,S
236,236,2021,MI,FT,Research Scientist,58400.0,USD,63810,Canada,100,Canada,M
237,237,2021,MI,FT,Data Scientist,38412.0,USD,46809,Spain,100,Spain,M
238,238,2021,EN,FT,Data Scientist,4000.0,USD,4000,Viet Nam,0,Viet Nam,M
239,239,2021,EN,FT,Data Engineer,19200.0,USD,21637,India,50,India,M
240,240,2021,SE,FT,Data Scientist,94900.0,USD,103691,Canada,100,Canada,L
241,241,2021,MI,FT,Data Analyst,80000.0,USD,80000,United States of America,100,United States of America,L
242,242,2021,MI,FT,Data Engineer,110000.0,USD,110000,United States of America,100,United States of America,L
243,243,2021,SE,FT,Data Scientist,165000.0,USD,165000,United States of America,100,United States of America,L
244,244,2021,EN,FT,AI Scientist,16020.0,USD,18053,India,100,American Samoa,S
245,245,2021,MI,FT,Data Engineer,58275.00000000001,USD,72212,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
246,246,2021,EN,FT,Data Scientist,30070.0,USD,36643,France,50,France,L
247,247,2021,MI,FT,Data Engineer,5832.0,USD,12103,Turkey,0,Turkey,M
248,248,2021,SE,FT,Data Engineer,77700.0,USD,96282,United Kingdom of Great Britain and Northern Ireland,50,United Kingdom of Great Britain and Northern Ireland,L
249,249,2021,SE,FT,Principal Data Analyst,170000.0,USD,170000,United States of America,100,United States of America,M
250,250,2021,MI,FT,Data Scientist,115000.0,USD,115000,United States of America,50,United States of America,L
251,251,2021,EN,FT,Data Scientist,90000.0,USD,90000,United States of America,100,United States of America,S
252,252,2021,EX,FT,Principal Data Engineer,600000.0,USD,600000,United States of America,100,United States of America,L
253,253,2021,EN,FT,Data Scientist,25200.0,USD,28399,India,100,India,M
254,254,2021,MI,FT,Data Analyst,93000.0,USD,93000,United States of America,100,United States of America,L
255,255,2021,SE,FT,Big Data Architect,91250.0,USD,99703,Canada,50,Canada,M
256,256,2021,MI,FT,Data Engineer,200000.0,USD,200000,United States of America,100,United States of America,L
257,257,2021,SE,FT,Principal Data Scientist,142590.0,USD,173762,Germany,100,Germany,M
258,258,2021,SE,FT,Machine Learning Engineer,185000.0,USD,185000,United States of America,50,United States of America,L
259,259,2021,EX,FT,Director of Data Science,116400.0,USD,141846,Germany,0,Germany,L
260,260,2021,MI,FT,Data Scientist,130000.0,USD,130000,United States of America,50,United States of America,L
261,261,2021,SE,FT,Data Analyst,52380.0,USD,63831,Germany,50,Germany,L
262,262,2021,MI,FT,Data Scientist,15000.0,USD,16904,India,100,India,S
263,263,2021,SE,FT,Machine Learning Engineer,58800.0,USD,66265,India,0,India,L
264,264,2021,MI,FT,Data Scientist,20952.0,USD,25532,Serbia,100,Germany,S
265,265,2021,SE,FT,Lead Data Engineer,160000.0,USD,160000,Puerto Rico,50,United States of America,S
266,266,2021,MI,FT,Data Engineer,93150.0,USD,93150,United States of America,0,United States of America,M
267,267,2021,MI,FT,Data Engineer,111775.0,USD,111775,United States of America,0,United States of America,M
268,268,2021,MI,FT,Data Engineer,13500.0,USD,28016,Turkey,100,Turkey,M
269,269,2021,EN,FT,Data Engineer,53350.0,USD,65013,Germany,50,Germany,M
270,270,2021,EN,FT,Data Engineer,72500.0,USD,72500,United States of America,100,United States of America,L
271,271,2021,SE,FT,Computer Vision Engineer,19380.0,USD,18907,Brazil,0,Brazil,M
272,272,2021,EN,FT,Data Science Consultant,63050.0,USD,76833,Germany,0,Germany,L
273,273,2021,EN,FT,Machine Learning Engineer,85000.0,USD,85000,Netherlands,100,Germany,S
274,274,2021,SE,FT,Data Scientist,63748.4,USD,77684,France,50,France,M
275,275,2021,EN,FT,Data Scientist,100000.0,USD,100000,United States of America,100,United States of America,M
276,276,2021,EN,FT,Data Scientist,58000.0,USD,58000,United States of America,50,United States of America,L
277,277,2021,SE,FT,AI Scientist,55000.0,USD,55000,Spain,100,Spain,L
278,278,2021,SE,FT,Data Scientist,9720.0,USD,20171,Turkey,50,Turkey,L
279,279,2021,EN,FT,Business Data Analyst,48500.0,USD,59102,Luxembourg,100,Luxembourg,L
280,280,2021,MI,FT,Data Engineer,112000.0,USD,112000,United States of America,100,United States of America,L
281,281,2021,EN,FT,Research Scientist,100000.0,USD,100000,Jersey,0,China,L
282,282,2021,MI,PT,Data Engineer,57230.0,USD,69741,Netherlands,100,Netherlands,L
283,283,2021,SE,CT,Staff Data Scientist,105000.0,USD,105000,United States of America,100,United States of America,M
284,284,2021,MI,FT,Research Scientist,69999.0,USD,69999,Czechia,50,Czechia,L
285,285,2021,SE,FT,Data Science Manager,84000.0,USD,94665,India,50,India,L
286,286,2021,SE,FT,Head of Data,84390.0,USD,102839,Slovenia,100,Slovenia,L
287,287,2021,MI,FT,Data Scientist,109000.0,USD,109000,United States of America,50,United States of America,L
288,288,2021,MI,FT,Machine Learning Engineer,41904.0,USD,51064,Italy,50,Italy,L
289,289,2022,SE,FT,Data Engineer,135000.0,USD,135000,United States of America,100,United States of America,M
290,290,2022,SE,FT,Data Analyst,155000.0,USD,155000,United States of America,100,United States of America,M
291,291,2022,SE,FT,Data Analyst,120600.0,USD,120600,United States of America,100,United States of America,M
